YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-08,WEEKDAY,9,TRAIN,NS17/CC15,62845,29768
2024-08,WEEKENDS/HOLIDAY,6,TRAIN,EW10,4549,1408
2024-08,WEEKDAY,6,TRAIN,EW10,20605,4499
2024-08,WEEKENDS/HOLIDAY,8,TRAIN,NS28,302,1850
2024-08,WEEKDAY,8,TRAIN,NS28,2466,3303
2024-08,WEEKDAY,7,TRAIN,EW33,13525,15672
2024-08,WEEKENDS/HOLIDAY,7,TRAIN,EW33,3373,2916
2024-08,WEEKDAY,18,TRAIN,BP12,3562,7636
2024-08,WEEKENDS/HOLIDAY,18,TRAIN,BP12,979,1151
2024-08,WEEKDAY,0,TRAIN,EW14/NS26,684,192
2024-08,WEEKENDS/HOLIDAY,0,TRAIN,EW14/NS26,264,119
2024-08,WEEKENDS/HOLIDAY,0,TRAIN,CG2,55,68
2024-08,WEEKDAY,0,TRAIN,CG2,112,306
2024-08,WEEKDAY,16,TRAIN,NE5,15812,14339
2024-08,WEEKENDS/HOLIDAY,16,TRAIN,NE5,7211,9009
2024-08,WEEKENDS/HOLIDAY,11,TRAIN,NE16/STC,24818,18023
2024-08,WEEKDAY,11,TRAIN,NE16/STC,43437,32500
2024-08,WEEKENDS/HOLIDAY,9,TRAIN,TE6,7522,2383
2024-08,WEEKDAY,9,TRAIN,TE6,20852,4492
2024-08,WEEKENDS/HOLIDAY,13,TRAIN,EW9,13553,12049
2024-08,WEEKDAY,13,TRAIN,EW9,23319,16231
2024-08,WEEKDAY,8,TRAIN,TE5,17894,7919
2024-08,WEEKENDS/HOLIDAY,8,TRAIN,TE5,2595,1447
2024-08,WEEKDAY,17,TRAIN,CC6,11708,12514
2024-08,WEEKENDS/HOLIDAY,17,TRAIN,CC6,9511,9575
2024-08,WEEKENDS/HOLIDAY,8,TRAIN,NE8,7929,9788
2024-08,WEEKDAY,8,TRAIN,NE8,37044,42312
2024-08,WEEKENDS/HOLIDAY,20,TRAIN,CC7,1956,4151
2024-08,WEEKDAY,20,TRAIN,CC7,4670,9595
2024-08,WEEKENDS/HOLIDAY,20,TRAIN,NS3,4795,11095
2024-08,WEEKDAY,20,TRAIN,NS3,11061,32110
2024-08,WEEKDAY,0,TRAIN,BP13,0,1
2024-08,WEEKENDS/HOLIDAY,10,TRAIN,SE3,1997,607
2024-08,WEEKDAY,10,TRAIN,SE3,3746,992
2024-08,WEEKDAY,9,TRAIN,EW16/NE3/TE17,27660,73415
2024-08,WEEKENDS/HOLIDAY,9,TRAIN,EW16/NE3/TE17,8124,9689
2024-08,WEEKENDS/HOLIDAY,18,TRAIN,NE16/STC,22134,28647
2024-08,WEEKDAY,18,TRAIN,NE16/STC,63874,146869
2024-08,WEEKDAY,12,TRAIN,TE3,11619,9758
2024-08,WEEKENDS/HOLIDAY,12,TRAIN,TE3,5582,4746
2024-08,WEEKDAY,5,TRAIN,EW15,976,571
2024-08,WEEKENDS/HOLIDAY,5,TRAIN,EW15,238,62
2024-08,WEEKDAY,18,TRAIN,NS7,39348,49579
2024-08,WEEKENDS/HOLIDAY,18,TRAIN,NS7,19116,13476
2024-08,WEEKDAY,0,TRAIN,NS15,461,1220
2024-08,WEEKENDS/HOLIDAY,0,TRAIN,NS15,176,582
2024-08,WEEKENDS/HOLIDAY,15,TRAIN,NS15,6517,4855
2024-08,WEEKDAY,15,TRAIN,NS15,27849,12529
2024-08,WEEKENDS/HOLIDAY,22,TRAIN,DT7,646,1397
2024-08,WEEKDAY,22,TRAIN,DT7,1412,3247
2024-08,WEEKDAY,15,TRAIN,PW4,4055,5685
2024-08,WEEKENDS/HOLIDAY,15,TRAIN,PW4,3026,3421
2024-08,WEEKENDS/HOLIDAY,22,TRAIN,TE4,1930,1449
2024-08,WEEKDAY,22,TRAIN,TE4,4481,3362
2024-08,WEEKDAY,15,TRAIN,EW23,47749,45414
2024-08,WEEKENDS/HOLIDAY,15,TRAIN,EW23,23786,23528
2024-08,WEEKENDS/HOLIDAY,20,TRAIN,NE8,27911,19741
2024-08,WEEKDAY,20,TRAIN,NE8,37313,39359
2024-08,WEEKENDS/HOLIDAY,19,TRAIN,EW33,2448,3026
2024-08,WEEKDAY,19,TRAIN,EW33,7175,9434
2024-08,WEEKDAY,8,TRAIN,TE16,14203,15973
2024-08,WEEKENDS/HOLIDAY,8,TRAIN,TE16,2805,2119
2024-08,WEEKENDS/HOLIDAY,6,TRAIN,CC16,1339,602
2024-08,WEEKDAY,6,TRAIN,CC16,8247,4659
2024-08,WEEKENDS/HOLIDAY,13,TRAIN,TE4,2794,2441
2024-08,WEEKDAY,13,TRAIN,TE4,4298,4255
2024-08,WEEKDAY,11,TRAIN,BP12,2733,1257
2024-08,WEEKENDS/HOLIDAY,11,TRAIN,BP12,1601,792
2024-08,WEEKDAY,13,TRAIN,NE17/PTC,43366,44153
2024-08,WEEKENDS/HOLIDAY,13,TRAIN,NE17/PTC,27263,25362
2024-08,WEEKDAY,7,TRAIN,BP5,6944,3873
2024-08,WEEKENDS/HOLIDAY,7,TRAIN,BP5,695,479
2024-08,WEEKDAY,8,TRAIN,SW6,12159,3082
2024-08,WEEKENDS/HOLIDAY,8,TRAIN,SW6,2265,648
2024-08,WEEKDAY,16,TRAIN,EW4,16903,14985
2024-08,WEEKENDS/HOLIDAY,16,TRAIN,EW4,7434,7311
2024-08,WEEKDAY,14,TRAIN,CC2,5306,6409
2024-08,WEEKENDS/HOLIDAY,14,TRAIN,CC2,2562,3115
2024-08,WEEKENDS/HOLIDAY,12,TRAIN,NE14,19313,11237
2024-08,WEEKDAY,12,TRAIN,NE14,30730,20222
2024-08,WEEKDAY,20,TRAIN,NE4/DT19,85541,40638
2024-08,WEEKENDS/HOLIDAY,20,TRAIN,NE4/DT19,36718,20672
2024-08,WEEKDAY,0,TRAIN,SE5,60,333
2024-08,WEEKENDS/HOLIDAY,0,TRAIN,SE5,23,179
2024-08,WEEKENDS/HOLIDAY,23,TRAIN,EW6,650,2868
2024-08,WEEKDAY,23,TRAIN,EW6,1269,6710
2024-08,WEEKDAY,12,TRAIN,CC4/DT15,19796,32632
2024-08,WEEKENDS/HOLIDAY,12,TRAIN,CC4/DT15,6786,14693
2024-08,WEEKENDS/HOLIDAY,15,TRAIN,NE4/DT19,39555,33399
2024-08,WEEKDAY,15,TRAIN,NE4/DT19,62412,52938
2024-08,WEEKDAY,8,TRAIN,SW1,4614,8224
2024-08,WEEKENDS/HOLIDAY,8,TRAIN,SW1,1020,855
2024-08,WEEKENDS/HOLIDAY,9,TRAIN,NS10,23843,10788
2024-08,WEEKDAY,9,TRAIN,NS10,59487,25104
2024-08,WEEKDAY,7,TRAIN,DT33,71398,31068
2024-08,WEEKENDS/HOLIDAY,7,TRAIN,DT33,7010,2792
2024-08,WEEKENDS/HOLIDAY,0,TRAIN,DT24,17,250
2024-08,WEEKDAY,0,TRAIN,DT24,61,445
2024-08,WEEKDAY,0,TRAIN,NS18,229,1554
2024-08,WEEKENDS/HOLIDAY,0,TRAIN,NS18,135,819
2024-08,WEEKENDS/HOLIDAY,22,TRAIN,NS24/NE6/CC1,17050,5717
2024-08,WEEKDAY,22,TRAIN,NS24/NE6/CC1,37420,10496
2024-08,WEEKDAY,21,TRAIN,EW3,10491,23589
2024-08,WEEKENDS/HOLIDAY,21,TRAIN,EW3,4772,10064
2024-08,WEEKDAY,21,TRAIN,CG1/DT35,19679,3038
2024-08,WEEKENDS/HOLIDAY,21,TRAIN,CG1/DT35,12652,1909
2024-08,WEEKENDS/HOLIDAY,13,TRAIN,NS21/DT11,32065,32019
2024-08,WEEKDAY,13,TRAIN,NS21/DT11,52818,66929
2024-08,WEEKENDS/HOLIDAY,17,TRAIN,TE12,2624,1528
2024-08,WEEKDAY,17,TRAIN,TE12,15607,4154
2024-08,WEEKDAY,7,TRAIN,CC23,3621,38040
2024-08,WEEKENDS/HOLIDAY,7,TRAIN,CC23,793,2696
2024-08,WEEKDAY,16,TRAIN,SW1,6001,2587
2024-08,WEEKENDS/HOLIDAY,16,TRAIN,SW1,1619,1048
2024-08,WEEKENDS/HOLIDAY,20,TRAIN,NE15,4979,13013
2024-08,WEEKDAY,20,TRAIN,NE15,10112,38849
2024-08,WEEKENDS/HOLIDAY,13,TRAIN,EW29,5583,3983
2024-08,WEEKDAY,13,TRAIN,EW29,8414,6861
2024-08,WEEKDAY,13,TRAIN,EW30,1316,1363
2024-08,WEEKENDS/HOLIDAY,13,TRAIN,EW30,1044,521
2024-08,WEEKENDS/HOLIDAY,7,TRAIN,EW32,2521,5239
2024-08,WEEKDAY,7,TRAIN,EW32,5763,33206
2024-08,WEEKDAY,7,TRAIN,NE14,97889,41051
2024-08,WEEKENDS/HOLIDAY,7,TRAIN,NE14,11495,4664
2024-08,WEEKDAY,13,TRAIN,SE3,3876,3155
2024-08,WEEKENDS/HOLIDAY,13,TRAIN,SE3,1666,1356
2024-08,WEEKDAY,20,TRAIN,EW30,6929,1401
2024-08,WEEKENDS/HOLIDAY,20,TRAIN,EW30,1077,1303
2024-08,WEEKENDS/HOLIDAY,12,TRAIN,NS17/CC15,25445,20096
2024-08,WEEKDAY,12,TRAIN,NS17/CC15,44413,41168
2024-08,WEEKDAY,15,TRAIN,EW26,23234,24406
2024-08,WEEKENDS/HOLIDAY,15,TRAIN,EW26,14612,13479
2024-08,WEEKENDS/HOLIDAY,17,TRAIN,TE13,3159,2091
2024-08,WEEKDAY,17,TRAIN,TE13,10475,5353
2024-08,WEEKDAY,9,TRAIN,EW23,56297,51477
2024-08,WEEKENDS/HOLIDAY,9,TRAIN,EW23,21954,16720
2024-08,WEEKDAY,21,TRAIN,DT34,2509,5013
2024-08,WEEKENDS/HOLIDAY,21,TRAIN,DT34,911,2457
2024-08,WEEKDAY,20,TRAIN,DT5,11748,18325
2024-08,WEEKENDS/HOLIDAY,20,TRAIN,DT5,4498,7092
2024-08,WEEKDAY,15,TRAIN,DT22,7354,8134
2024-08,WEEKENDS/HOLIDAY,15,TRAIN,DT22,6029,6185
2024-08,WEEKENDS/HOLIDAY,21,TRAIN,CC27,905,391
2024-08,WEEKDAY,21,TRAIN,CC27,5549,2770
2024-08,WEEKDAY,15,TRAIN,SE4,2620,3665
2024-08,WEEKENDS/HOLIDAY,15,TRAIN,SE4,1734,1747
2024-08,WEEKENDS/HOLIDAY,19,TRAIN,PW6,350,771
2024-08,WEEKDAY,19,TRAIN,PW6,1108,3609
2024-08,WEEKENDS/HOLIDAY,8,TRAIN,NE10,6144,4843
2024-08,WEEKDAY,8,TRAIN,NE10,43040,37753
2024-08,WEEKENDS/HOLIDAY,15,TRAIN,NS5,12242,13871
2024-08,WEEKDAY,15,TRAIN,NS5,21087,26507
2024-08,WEEKDAY,11,TRAIN,DT13,10459,14429
2024-08,WEEKENDS/HOLIDAY,11,TRAIN,DT13,6179,6915
2024-08,WEEKDAY,20,TRAIN,DT27,8302,10327
2024-08,WEEKENDS/HOLIDAY,20,TRAIN,DT27,2266,4494
2024-08,WEEKENDS/HOLIDAY,20,TRAIN,SW3,380,1253
2024-08,WEEKDAY,20,TRAIN,SW3,933,3486
2024-08,WEEKDAY,14,TRAIN,EW16/NE3/TE17,32129,37141
2024-08,WEEKENDS/HOLIDAY,14,TRAIN,EW16/NE3/TE17,12855,9598
2024-08,WEEKDAY,19,TRAIN,EW26,27798,81335
2024-08,WEEKENDS/HOLIDAY,19,TRAIN,EW26,12254,18819
2024-08,WEEKDAY,6,TRAIN,BP3,13656,1073
2024-08,WEEKENDS/HOLIDAY,6,TRAIN,BP3,1517,260
2024-08,WEEKENDS/HOLIDAY,13,TRAIN,EW12/DT14,33750,48503
2024-08,WEEKDAY,13,TRAIN,EW12/DT14,65601,68966
2024-08,WEEKDAY,8,TRAIN,CG2,15363,36903
2024-08,WEEKENDS/HOLIDAY,8,TRAIN,CG2,7017,10069
2024-08,WEEKDAY,20,TRAIN,NE13,18366,29613
2024-08,WEEKENDS/HOLIDAY,20,TRAIN,NE13,7633,10723
2024-08,WEEKDAY,19,TRAIN,NS17/CC15,53299,87244
2024-08,WEEKENDS/HOLIDAY,19,TRAIN,NS17/CC15,18060,20887
2024-08,WEEKENDS/HOLIDAY,14,TRAIN,TE8,7032,5118
2024-08,WEEKDAY,14,TRAIN,TE8,8901,9534
2024-08,WEEKENDS/HOLIDAY,23,TRAIN,CC17/TE9,377,1034
2024-08,WEEKDAY,23,TRAIN,CC17/TE9,798,2373
2024-08,WEEKENDS/HOLIDAY,10,TRAIN,DT18,2200,3981
2024-08,WEEKDAY,10,TRAIN,DT18,5986,27636
2024-08,WEEKDAY,19,TRAIN,EW23,65434,92700
2024-08,WEEKENDS/HOLIDAY,19,TRAIN,EW23,20874,25478
2024-08,WEEKENDS/HOLIDAY,14,TRAIN,EW15,12538,9999
2024-08,WEEKDAY,14,TRAIN,EW15,31014,28497
2024-08,WEEKDAY,23,TRAIN,EW12/DT14,23671,11325
2024-08,WEEKENDS/HOLIDAY,23,TRAIN,EW12/DT14,12854,5555
2024-08,WEEKDAY,10,TRAIN,NS4/BP1,30921,23466
2024-08,WEEKENDS/HOLIDAY,10,TRAIN,NS4/BP1,17549,13659
2024-08,WEEKDAY,22,TRAIN,NS5,8674,31403
2024-08,WEEKENDS/HOLIDAY,22,TRAIN,NS5,4681,14268
2024-08,WEEKDAY,22,TRAIN,SE3,594,4320
2024-08,WEEKENDS/HOLIDAY,22,TRAIN,SE3,297,1928
2024-08,WEEKDAY,7,TRAIN,NS15,38565,65635
2024-08,WEEKENDS/HOLIDAY,7,TRAIN,NS15,5497,5245
2024-08,WEEKDAY,12,TRAIN,EW30,2218,1135
2024-08,WEEKENDS/HOLIDAY,12,TRAIN,EW30,1627,584
2024-08,WEEKENDS/HOLIDAY,12,TRAIN,NE11,7870,7267
2024-08,WEEKDAY,12,TRAIN,NE11,12707,13182
2024-08,WEEKDAY,8,TRAIN,PE5,17973,3231
2024-08,WEEKENDS/HOLIDAY,8,TRAIN,PE5,3407,1013
2024-08,WEEKENDS/HOLIDAY,14,TRAIN,TE19,2343,1978
2024-08,WEEKDAY,14,TRAIN,TE19,8032,7497
2024-08,WEEKDAY,19,TRAIN,TE19,33813,4821
2024-08,WEEKENDS/HOLIDAY,19,TRAIN,TE19,2010,2050
2024-08,WEEKENDS/HOLIDAY,9,TRAIN,CC11,2384,7333
2024-08,WEEKDAY,9,TRAIN,CC11,7500,67413
2024-08,WEEKENDS/HOLIDAY,0,TRAIN,SE1,41,318
2024-08,WEEKDAY,0,TRAIN,SE1,63,670
2024-08,WEEKENDS/HOLIDAY,12,TRAIN,NS14,16785,11800
