from_station_name,to_station_name,trip_duration_in_minutes
Botanic Gardens,Woodlands North,37
Botanic Gardens,Woodlands South,32
Botanic Gardens,Woodleigh,24
Botanic Gardens,Yew Tee,42
Botanic Gardens,Yio Chu Kang,26
Botanic Gardens,Yishun,34
Botanic Gardens,one-north,14
Bugis,Admiralty,45
Bugis,Aljunied,10
Bugis,Ang Mo Kio,27
Bugis,Bartley,27
Bugis,Bayfront,7
Bugis,Beauty World,21
Bugis,Bedok,18
Bugis,Bedok North,31
Bugis,Bedok Reservoir,33
Bugis,Bencoolen,16
Bugis,Bendemeer,20
Bugis,Bishan,24
Bugis,Boon Keng,16
Bugis,Boon Lay,40
Bugis,Botanic Gardens,13
Bugis,Braddell,22
Bugis,Bras Basah,16
Bugis,Bright Hill,26
Bugis,Buangkok,30
Bugis,Bugis,0
Bugis,Bukit Batok,40
Bugis,Bukit Gombak,42
Bugis,Bukit Panjang,30
Bugis,Buona Vista,23
Bugis,Caldecott,20
Bugis,Canberra,39
Bugis,Cashew,28
Bugis,Changi Airport,39
Bugis,Chinatown,12
Bugis,Chinese Garden,35
Bugis,Choa Chu Kang,45
Bugis,City Hall,6
Bugis,Clarke Quay,17
Bugis,Clementi,28
Bugis,Commonwealth,21
Bugis,Dakota,20
Bugis,Dhoby Ghaut,11
Bugis,Dover,26
Bugis,Downtown,9
Bugis,Esplanade,14
Bugis,Eunos,14
Bugis,Expo,34
Bugis,Farrer Park,14
Bugis,Farrer Road,23
Bugis,Fort Canning,14
Bugis,Gardens by the Bay,22
Bugis,Geylang Bahru,22
Bugis,Great World,22
Bugis,Gul Circle,48
Bugis,HarbourFront,22
Bugis,Havelock,20
Bugis,Haw Par Villa,34
Bugis,Hillview,26
Bugis,Holland Village,26
Bugis,Hougang,28
Bugis,Jalan Besar,18
Bugis,Joo Koon,45
Bugis,Jurong East,32
Bugis,Kaki Bukit,29
Bugis,Kallang,7
Bugis,Kembangan,16
Bugis,Kent Ridge,32
Bugis,Khatib,34
Bugis,King Albert Park,19
Bugis,Kovan,25
Bugis,Kranji,54
Bugis,Labrador Park,33
Bugis,Lakeside,37
Bugis,Lavender,5
Bugis,Lentor,30
Bugis,Little India,6
Bugis,Lorong Chuan,32
Bugis,MacPherson,22
Bugis,Marina Bay,14
Bugis,Marina South Pier,16
Bugis,Marsiling,51
Bugis,Marymount,28
Bugis,Mattar,24
Bugis,Maxwell,20
Bugis,Mayflower,28
Bugis,Mountbatten,18
Bugis,Napier,18
Bugis,Newton,9
Bugis,Nicoll Highway,14
Bugis,Novena,17
Bugis,Orchard,15
Bugis,Orchard Boulevard,20
Bugis,Outram Park,12
Bugis,Pasir Panjang,36
Bugis,Pasir Ris,31
Bugis,Paya Lebar,12
Bugis,Pioneer,42
Bugis,Potong Pasir,19
Bugis,Promenade,5
Bugis,Punggol,34
Bugis,Queenstown,19
Bugis,Raffles Place,8
Bugis,Redhill,17
Bugis,Rochor,5
Bugis,Sembawang,42
Bugis,Sengkang,32
Bugis,Serangoon,23
Bugis,Shenton Way,21
Bugis,Simei,26
Bugis,Sixth Avenue,16
Bugis,Somerset,13
Bugis,Springleaf,33
Bugis,Stadium,16
Bugis,Stevens,11
Bugis,Tai Seng,24
Bugis,Tampines,28
Bugis,Tampines East,38
Bugis,Tampines West,35
Bugis,Tan Kah Kee,14
Bugis,Tanah Merah,21
Bugis,Tanjong Pagar,10
Bugis,Telok Ayer,11
Bugis,Telok Blangah,31
Bugis,Tiong Bahru,15
Bugis,Toa Payoh,20
Bugis,Tuas Crescent,50
Bugis,Tuas Link,55
Bugis,Tuas West Road,53
Bugis,Ubi,27
Bugis,Upper Changi,41
Bugis,Upper Thomson,23
Bugis,Woodlands,40
Bugis,Woodlands North,43
Bugis,Woodlands South,38
Bugis,Woodleigh,20
Bugis,Yew Tee,48
Bugis,Yio Chu Kang,29
Bugis,Yishun,36
Bugis,one-north,30
Chinese Garden,Admiralty,39
Chinese Garden,Aljunied,41
Chinese Garden,Ang Mo Kio,49
Chinese Garden,Bartley,48
Chinese Garden,Bayfront,44
Chinese Garden,Beauty World,44
Chinese Garden,Bedok,50
Chinese Garden,Bedok North,58
Chinese Garden,Bedok Reservoir,59
Chinese Garden,Bencoolen,43
Chinese Garden,Bendemeer,47
Chinese Garden,Bishan,40
Chinese Garden,Boon Keng,44
Chinese Garden,Boon Lay,9
Chinese Garden,Botanic Gardens,30
Chinese Garden,Braddell,48
Chinese Garden,Bras Basah,47
Chinese Garden,Bright Hill,47
Chinese Garden,Buangkok,57
Chinese Garden,Bugis,35
Chinese Garden,Bukit Batok,14
Chinese Garden,Bukit Gombak,16
Chinese Garden,Bukit Panjang,34
Chinese Garden,Buona Vista,14
Chinese Garden,Caldecott,35
Chinese Garden,Canberra,45
Chinese Garden,Cashew,42
Chinese Garden,Changi Airport,71
Chinese Garden,Chinatown,34
Chinese Garden,Chinese Garden,0
Chinese Garden,Choa Chu Kang,20
Chinese Garden,City Hall,32
Chinese Garden,Clarke Quay,36
Chinese Garden,Clementi,10
Chinese Garden,Commonwealth,17
Chinese Garden,Dakota,53
Chinese Garden,Dhoby Ghaut,38
Chinese Garden,Dover,12
Chinese Garden,Downtown,42
Chinese Garden,Esplanade,49
Chinese Garden,Eunos,45
Chinese Garden,Expo,65
Chinese Garden,Farrer Park,42
Chinese Garden,Farrer Road,28
Chinese Garden,Fort Canning,41
Chinese Garden,Gardens by the Bay,39
Chinese Garden,Geylang Bahru,49
Chinese Garden,Great World,35
Chinese Garden,Gul Circle,17
Chinese Garden,HarbourFront,35
Chinese Garden,Havelock,34
Chinese Garden,Haw Par Villa,29
Chinese Garden,Hillview,43
Chinese Garden,Holland Village,25
Chinese Garden,Hougang,55
Chinese Garden,Jalan Besar,45
Chinese Garden,Joo Koon,14
Chinese Garden,Jurong East,6
Chinese Garden,Kaki Bukit,56
Chinese Garden,Kallang,39
Chinese Garden,Kembangan,47
Chinese Garden,Kent Ridge,27
Chinese Garden,Khatib,50
Chinese Garden,King Albert Park,42
Chinese Garden,Kovan,53
Chinese Garden,Kranji,30
Chinese Garden,Labrador Park,34
Chinese Garden,Lakeside,6
Chinese Garden,Lavender,37
Chinese Garden,Lentor,52
Chinese Garden,Little India,40
Chinese Garden,Lorong Chuan,43
Chinese Garden,MacPherson,52
Chinese Garden,Marina Bay,36
Chinese Garden,Marina South Pier,38
Chinese Garden,Marsiling,33
Chinese Garden,Marymount,37
Chinese Garden,Mattar,50
Chinese Garden,Maxwell,34
Chinese Garden,Mayflower,49
Chinese Garden,Mountbatten,55
Chinese Garden,Napier,41
Chinese Garden,Newton,40
Chinese Garden,Nicoll Highway,53
Chinese Garden,Novena,46
Chinese Garden,Orchard,37
Chinese Garden,Orchard Boulevard,39
Chinese Garden,Outram Park,26
Chinese Garden,Pasir Panjang,31
Chinese Garden,Pasir Ris,63
Chinese Garden,Paya Lebar,43
Chinese Garden,Pioneer,10
Chinese Garden,Potong Pasir,46
Chinese Garden,Promenade,44
Chinese Garden,Punggol,62
Chinese Garden,Queenstown,19
Chinese Garden,Raffles Place,30
Chinese Garden,Redhill,21
Chinese Garden,Rochor,44
Chinese Garden,Sembawang,43
Chinese Garden,Sengkang,59
Chinese Garden,Serangoon,45
Chinese Garden,Shenton Way,35
Chinese Garden,Simei,57
Chinese Garden,Sixth Avenue,40
Chinese Garden,Somerset,40
Chinese Garden,Springleaf,51
Chinese Garden,Stadium,55
Chinese Garden,Stevens,38
Chinese Garden,Tai Seng,51
Chinese Garden,Tampines,59
Chinese Garden,Tampines East,66
Chinese Garden,Tampines West,62
Chinese Garden,Tan Kah Kee,38
Chinese Garden,Tanah Merah,53
Chinese Garden,Tanjong Pagar,28
Chinese Garden,Telok Ayer,40
Chinese Garden,Telok Blangah,36
Chinese Garden,Tiong Bahru,23
Chinese Garden,Toa Payoh,48
Chinese Garden,Tuas Crescent,19
Chinese Garden,Tuas Link,23
Chinese Garden,Tuas West Road,21
Chinese Garden,Ubi,54
Chinese Garden,Upper Changi,69
Chinese Garden,Upper Thomson,45
Chinese Garden,Woodlands,36
Chinese Garden,Woodlands North,46
Chinese Garden,Woodlands South,46
Chinese Garden,Woodleigh,48
Chinese Garden,Yew Tee,22
Chinese Garden,Yio Chu Kang,52
Chinese Garden,Yishun,48
Chinese Garden,one-north,25
City Hall,Admiralty,40
City Hall,Aljunied,12
City Hall,Ang Mo Kio,22
City Hall,Bartley,29
City Hall,Bayfront,17
City Hall,Beauty World,30
City Hall,Bedok,21
City Hall,Bedok North,34
City Hall,Bedok Reservoir,36
City Hall,Bencoolen,26
City Hall,Bendemeer,30
City Hall,Bishan,19
City Hall,Boon Keng,19
City Hall,Boon Lay,38
City Hall,Botanic Gardens,22
City Hall,Braddell,17
City Hall,Bras Basah,15
City Hall,Bright Hill,31
City Hall,Buangkok,32
City Hall,Bugis,6
City Hall,Bukit Batok,38
City Hall,Bukit Gombak,40
City Hall,Bukit Panjang,39
City Hall,Buona Vista,21
City Hall,Caldecott,25
City Hall,Canberra,35
City Hall,Cashew,37
City Hall,Changi Airport,42
City Hall,Chinatown,17
City Hall,Chinese Garden,32
City Hall,Choa Chu Kang,44
City Hall,City Hall,0
City Hall,Clarke Quay,15
City Hall,Clementi,26
City Hall,Commonwealth,19
City Hall,Dakota,24
City Hall,Dhoby Ghaut,5
City Hall,Dover,23
City Hall,Downtown,19
City Hall,Esplanade,17
City Hall,Eunos,16
City Hall,Expo,36
City Hall,Farrer Park,17
City Hall,Farrer Road,32
City Hall,Fort Canning,24
City Hall,Gardens by the Bay,16
City Hall,Geylang Bahru,32
City Hall,Great World,17
City Hall,Gul Circle,46
City Hall,HarbourFront,20
City Hall,Havelock,18
City Hall,Haw Par Villa,36
City Hall,Hillview,35
City Hall,Holland Village,31
City Hall,Hougang,30
City Hall,Jalan Besar,27
City Hall,Joo Koon,43
City Hall,Jurong East,30
City Hall,Kaki Bukit,32
City Hall,Kallang,10
City Hall,Kembangan,18
